channel,rank
RakerTV,Royale
ZavierKonz,Royale
iSanjimo,Royale
8BBattle,Sapphire
BrAshPop,Sapphire
CIGNUS,Sapphire
DeoxysA,Sapphire
Earlswood,Sapphire
GoodIntroMusic,Sapphire
TheRabbleWrangler,Sapphire
xKyreLx,Diamond
AnD4D,Diamond
Armageddon,Diamond
beardmyth,Diamond
Bearkittty,Diamond
captaingecoo,Diamond
Cpt_Cuddles__,Diamond
CrazeG4,Diamond
DecimLEL,Diamond
derp_,Diamond
Dewinged_Moth,Diamond
Dreklo,Diamond
DrLucianoJr,Diamond
Edge419,Diamond
fkflaviuskings,Diamond
FluxFer,Diamond
Hadouless,Diamond
HibikiFox,Diamond
InsaiyanSaiyan,Diamond
ipushtrees24,Diamond
itsjayste,Diamond
itzBrittney,Diamond
Jaraxlle,Diamond
JayKraze,Diamond
jesstreams,Diamond
Jwaitt86,Diamond
KaibiganTV,Diamond
keekeexbabyy,Diamond
Kelydrex,Diamond
Kidritch,Diamond
KrakonSkullz,Diamond
LastKardax,Diamond
Leedly,Diamond
LeoWurf,Diamond
Litework,Diamond
Lucipherion,Diamond
Mister_Hooks,Diamond
MisterSkids,Diamond
MoistPrune2,Diamond
MuklukTwitch,Diamond
NexGenInsanity,Diamond
nidzation_,Diamond
OvidiuZ94,Diamond
QuazarFC,Diamond
RestlessShark,Diamond
RikuEstia,Diamond
RJersak,Diamond
sharpsaber,Diamond
SillyNetwork,Diamond
smelliee,Diamond
SmirkinLIVE,Diamond
smonme,Diamond
spazzxattack,Diamond
Swiftizm,Diamond
teambrianlee,Diamond
the_5th_god,Diamond
TheKayJ,Diamond
Thumper0069,Diamond
Timmy_BITS,Diamond
Turannos_Pax,Diamond
Velion83,Diamond
Vesi,Diamond
ViviXAlive,Diamond
vulcanlg,Diamond
Wizurd_Merlin,Diamond
Woottodoo,Diamond
ay0kay,SAPPHIRE
Captain_Cab1net,SAPPHIRE
dublyfe,SAPPHIRE
JBMagic,SAPPHIRE
MrClassicDale,SAPPHIRE
Nicko1117,SAPPHIRE
Prospering,SAPPHIRE
Tomasina,SAPPHIRE
imbeergoggles,SAPPHIRE
roostie,SAPPHIRE
Pulse35,Platinum
RAIDONKU,Platinum
RealJayden,Platinum
SenVale,Platinum
KB_3,Platinum
Beauty_AnDa_Beard,Platinum
bettrn_u,Platinum
Blipo,Platinum
DaMikey,Platinum
deranged420,Platinum
bigcfromrbc,Platinum
DJ_Doobie,Platinum
Exko,Platinum
Gamenadian,Platinum
